,y
0,252.0546875
1,147.8671875
2,121.0390625
3,200.28125
4,141.0
5,108.765625
6,324.90625
7,207.8984375
8,109.8125
9,327.9765625
10,410.1015625
11,79.9296875
12,236.7890625
13,154.703125
14,107.7109375
15,65.5859375
16,45.09375
17,170.578125
18,62.015625
19,334.9609375
20,166.2890625
21,93.59375
22,51.828125
23,112.8046875
24,40.6953125
25,181.15625
26,87.0
27,188.609375
28,100.1328125
29,121.65625
30,162.5546875
31,220.9921875
32,191.796875
33,78.8984375
34,84.046875
35,233.453125
36,128.6015625
37,120.828125
38,185.4921875
39,230.3828125
40,169.0078125
41,286.875
42,269.5859375
43,157.328125
44,252.5
45,131.328125
46,233.5625
47,86.5703125
48,122.453125
49,111.96875
50,108.265625
51,103.2109375
52,159.8359375
53,101.890625
54,77.4921875
55,105.9296875
56,242.984375
57,118.3203125
58,142.1796875
59,68.6640625
60,186.484375
61,181.2734375
62,122.921875
63,163.3203125
64,138.6171875
65,214.578125
66,163.359375
67,170.1875
68,85.0078125
69,78.3359375
70,163.390625
71,110.171875
72,327.8984375
73,64.890625
74,204.2890625
75,95.328125
76,283.359375
77,92.4765625
78,58.03125
79,41.28125
80,251.8515625
81,108.2578125
82,137.9375
83,46.84375
84,59.8984375
85,228.3984375
86,225.4921875
87,101.6796875
88,104.25
89,80.3203125
90,117.1171875
91,174.4375
92,61.265625
93,93.875
94,203.5859375
95,101.1796875
96,132.2421875
97,191.3203125
98,89.0546875
99,284.0234375
100,90.0859375
101,113.8125
102,94.46875
103,122.3984375
104,87.421875
105,62.6796875
106,165.8203125
107,97.5
108,139.28125
109,160.515625
110,111.21875
111,110.9921875
112,80.90625
113,225.515625
114,80.8828125
115,245.5625
116,136.515625
117,166.15625
118,-84.7578125
119,173.546875
120,151.78125
121,226.0625
122,277.328125
123,251.6640625
124,149.1953125
125,106.8359375
126,114.484375
127,176.9765625
128,60.640625
129,102.0390625
130,247.4453125
131,246.328125
132,116.9921875
133,76.1796875
134,163.6796875
135,63.0234375
136,201.5
137,139.6171875
138,86.8125
139,105.7890625
140,77.2109375
141,344.5078125
142,188.3671875
143,131.984375
144,120.828125
145,89.046875
146,239.5546875
147,101.1875
148,96.6484375
149,125.7578125
150,317.7421875
151,122.7109375
152,166.0703125
153,109.203125
154,102.8984375
155,101.1875
156,350.2734375
